Step,Value
542798,45.0
546748,45.0
547448,45.0
547848,45.0
548548,45.0
548598,45.0
551848,45.0
553298,45.0
553448,45.0
554748,45.0
555848,45.0
557098,44.0
559698,44.0
560448,44.0
560848,44.0
561998,44.0
562898,44.0
564898,44.0
565948,44.0
567498,44.0
570148,44.0
570698,44.0
571598,44.0
572098,44.0
572148,44.0
573098,44.0
574248,44.0
575198,44.0
577148,44.0
577298,44.0
577648,44.0
578148,44.0
578298,44.0
578548,44.0
579048,44.0
580698,44.0
581648,44.0
585598,44.0
587348,43.0
588198,43.0
588948,43.0
589498,43.0
589798,43.0
591048,43.0
591298,43.0
591548,43.0
592448,43.0
592998,43.0
593148,43.0
594148,43.0
594548,43.0
595048,43.0
596798,43.0
597048,43.0
600098,43.0
600148,43.0
601748,43.0
604298,43.0
604698,43.0
606448,43.0
606998,43.0
607598,43.0
608448,43.0
611448,43.0
612648,43.0
614148,43.0
614348,43.0
615048,42.0
615898,42.0
616198,42.0
618298,42.0
619098,42.0
619648,42.0
620098,42.0
620498,42.0
621498,42.0
621748,42.0
621848,42.0
622148,42.0
623148,42.0
623298,42.0
623548,42.0
623998,42.0
628498,42.0
628548,42.0
628648,42.0
630048,42.0
630298,42.0
630548,42.0
631298,42.0
633448,42.0
633798,42.0
634748,42.0
635198,42.0
636848,42.0
636898,42.0
637348,42.0
639248,42.0
639648,42.0
639898,42.0
641498,42.0
643848,42.0
644048,42.0
645198,41.0
646098,41.0
646248,41.0
647298,41.0
647848,41.0
649048,41.0
649398,41.0
650248,41.0
650348,41.0
650498,41.0
651548,41.0
651648,41.0
651898,41.0
652448,41.0
653048,41.0
653898,41.0
654798,41.0
655098,41.0
655598,41.0
656548,41.0
657898,41.0
658298,41.0
659348,41.0
660398,41.0
662898,41.0
663248,41.0
665948,41.0
666448,41.0
666798,41.0
668148,41.0
669198,41.0
669698,41.0
670498,41.0
670948,41.0
672548,41.0
673598,41.0
675748,40.0
675898,40.0
676898,40.0
677248,40.0
678548,40.0
682048,40.0
682498,40.0
682848,40.0
683498,40.0
684598,40.0
685148,40.0
685698,40.0
686498,40.0
687698,40.0
687998,40.0
689148,40.0
690048,40.0
693098,40.0
693548,40.0
695748,40.0
697148,40.0
697298,40.0
699298,40.0
700498,40.0
703748,39.0
707648,39.0
707898,39.0
708048,39.0
708748,39.0
709348,39.0
710498,39.0
710798,39.0
711548,39.0
711848,39.0
712348,39.0
