Step,Value
359798,1226.0
361298,1232.0
361898,1234.0
364298,1242.0
364490,1242.0
364948,1244.0
367148,1252.0
368048,1255.0
368298,1255.0
368348,1256.0
368798,1257.0
370198,1262.0
370698,1264.0
372948,1271.0
374148,1275.0
375331,1279.0
376948,1285.0
377398,1287.0
377548,1287.0
379998,1295.0
380198,1296.0
380648,1298.0
383798,1308.0
384298,1310.0
384398,1310.0
384598,1311.0
384648,1311.0
385698,1315.0
385898,1316.0
386048,1316.0
387248,1320.0
387348,1321.0
388998,1326.0
389548,1328.0
389648,1328.0
393098,1340.0
394498,1345.0
397013,1353.0
397748,1356.0
398648,1359.0
400698,1366.0
400822,1366.0
402848,1373.0
404348,1379.0
404548,1379.0
404898,1380.0
406448,1386.0
406682,1386.0
408048,1391.0
408398,1392.0
409648,1397.0
410198,1398.0
410248,1399.0
411898,1404.0
412398,1406.0
414198,1412.0
417098,1422.0
417498,1423.0
417598,1424.0
420848,1435.0
420948,1435.0
420998,1435.0
423248,1443.0
424448,1447.0
427248,1457.0
428948,1462.0
432759,1475.0
433448,1478.0
434048,1480.0
436648,1489.0
437598,1492.0
440698,1503.0
440798,1503.0
442148,1508.0
443198,1511.0
443798,1513.0
445648,1519.0
446898,1524.0
447098,1524.0
447702,1526.0
449460,1532.0
449598,1533.0
451848,1541.0
453248,1545.0
453948,1548.0
454098,1548.0
455548,1553.0
455613,1553.0
455906,1554.0
457448,1560.0
458348,1563.0
459398,1566.0
459598,1567.0
459848,1568.0
460998,1572.0
461848,1575.0
462059,1575.0
462698,1578.0
462938,1578.0
464748,1585.0
466598,1591.0
467040,1592.0
469148,1600.0
469970,1602.0
470548,1604.0
470798,1605.0
471348,1607.0
473779,1615.0
474748,1619.0
474951,1619.0
475998,1623.0
476948,1626.0
477498,1628.0
478498,1632.0
482598,1646.0
482798,1646.0
483648,1649.0
485948,1657.0
486378,1658.0
487198,1661.0
489498,1669.0
489894,1670.0
490398,1672.0
490498,1673.0
491148,1675.0
491298,1675.0
491798,1677.0
492948,1681.0
493117,1681.0
493598,1683.0
496948,1695.0
497548,1697.0
497898,1698.0
498548,1700.0
501321,1709.0
502698,1714.0
503798,1718.0
504748,1721.0
508648,1735.0
508998,1736.0
509998,1739.0
510748,1742.0
513348,1751.0
514698,1755.0
516948,1763.0
517436,1764.0
518198,1767.0
518608,1768.0
518648,1769.0
519487,1771.0
520448,1775.0
521248,1778.0
522948,1783.0
523048,1784.0
523348,1785.0
523798,1786.0
523898,1787.0
524548,1789.0
525948,1794.0
526798,1796.0
530148,1808.0
531648,1813.0
532379,1815.0
532998,1818.0
533498,1819.0
533748,1820.0
534798,1824.0
535248,1825.0
535998,1828.0
536598,1830.0
537448,1833.0
537798,1834.0
538239,1835.0
539704,1840.0
539948,1841.0
542548,1850.0
542598,1850.0
543948,1855.0
546448,1864.0
547948,1869.0
548448,1870.0
548948,1872.0
549666,1874.0
554548,1891.0
554698,1892.0
555298,1894.0
556048,1896.0
556298,1897.0
558098,1903.0
558749,1905.0
559248,1907.0
560800,1912.0
561048,1913.0
561098,1914.0
561386,1914.0
562348,1918.0
562558,1918.0
562948,1920.0
566798,1933.0
566948,1933.0
568125,1937.0
568348,1938.0
568548,1939.0
571048,1947.0
572148,1951.0
572520,1952.0
573948,1957.0
573985,1957.0
574348,1959.0
575998,1964.0
576329,1965.0
576548,1966.0
579898,1978.0
581048,1982.0
581848,1984.0
581948,1985.0
582848,1988.0
583348,1989.0
584348,1993.0
584648,1994.0
585398,1996.0
585448,1997.0
585598,1997.0
586498,2000.0
586798,2001.0
587756,2004.0
588498,2007.0
589248,2010.0
589514,2010.0
589948,2012.0
590748,2015.0
591898,2019.0
592248,2020.0
593148,2023.0
596198,2033.0
599198,2044.0
599498,2045.0
600648,2048.0
601548,2052.0
602698,2055.0
603048,2057.0
604448,2061.0
605336,2064.0
607148,2071.0
607298,2071.0
608148,2074.0
608448,2075.0
609548,2079.0
612548,2089.0
612948,2090.0
613247,2091.0
613798,2093.0
614712,2096.0
615198,2098.0
616348,2102.0
617349,2105.0
617642,2106.0
618598,2110.0
619398,2112.0
622348,2123.0
624248,2129.0
625448,2133.0
625553,2133.0
627298,2139.0
628298,2143.0
631098,2152.0
634398,2164.0
634636,2164.0
634748,2165.0
635348,2167.0
635848,2169.0
636848,2172.0
637098,2173.0
637748,2175.0
638445,2177.0
639448,2181.0
640198,2183.0
643198,2194.0
644048,2197.0
644348,2198.0
644598,2198.0
649198,2214.0
649298,2215.0
650198,2218.0
650448,2218.0
652248,2225.0
652748,2226.0
653148,2228.0
653348,2228.0
654560,2232.0
654948,2234.0
655948,2237.0
655998,2237.0
656498,2239.0
657798,2244.0
658198,2245.0
658948,2247.0
659148,2248.0
659541,2249.0
659848,2251.0
660198,2252.0
660948,2254.0
662648,2260.0
664229,2265.0
664598,2267.0
664648,2267.0
665598,2270.0
665898,2271.0
667098,2275.0
667498,2277.0
667745,2277.0
668198,2279.0
668598,2280.0
669198,2282.0
670798,2288.0
670948,2288.0
672398,2293.0
672548,2294.0
673548,2297.0
673798,2298.0
673898,2298.0
675598,2304.0
675848,2305.0
675948,2305.0
676398,2307.0
676598,2308.0
677198,2310.0
677598,2311.0
678293,2313.0
679348,2317.0
680148,2320.0
680548,2321.0
681298,2324.0
682448,2328.0
683448,2331.0
683548,2331.0
683567,2331.0
686098,2340.0
686204,2340.0
686598,2342.0
688248,2347.0
690398,2355.0
692898,2363.0
694408,2368.0
695148,2371.0
695998,2374.0
697198,2378.0
697338,2378.0
697698,2380.0
698448,2382.0
698798,2383.0
699148,2385.0
700498,2389.0
702148,2395.0
702648,2397.0
703198,2398.0
703648,2400.0
704248,2402.0
704348,2402.0
705848,2408.0
707398,2413.0
708548,2417.0
709198,2419.0
710498,2423.0
711498,2427.0
712281,2429.0
713698,2434.0
714848,2438.0
715398,2440.0
715498,2440.0
716383,2443.0
716598,2444.0
717198,2446.0
717598,2448.0
717848,2448.0
718141,2449.0
718948,2452.0
719448,2454.0
723598,2468.0
724248,2470.0
724698,2472.0
724880,2472.0
725548,2475.0
726948,2480.0
727348,2481.0
730098,2490.0
730198,2491.0
730898,2493.0
734598,2506.0
734998,2507.0
736307,2511.0
737248,2515.0
738198,2518.0
740995,2527.0
741298,2529.0
743148,2535.0
744398,2539.0
746348,2546.0
747548,2550.0
750078,2558.0
750748,2561.0
752098,2565.0
753301,2569.0
754398,2573.0
754598,2574.0
755148,2576.0
755948,2579.0
757748,2585.0
757798,2585.0
758648,2588.0
761148,2596.0
761848,2599.0
762998,2603.0
763048,2603.0
763398,2604.0
763898,2606.0
764435,2607.0
765048,2610.0
765248,2610.0
765948,2613.0
767498,2618.0
768148,2620.0
768548,2622.0
768698,2622.0
769198,2624.0
769248,2624.0
769416,2624.0
770598,2629.0
771748,2632.0
773148,2637.0
773798,2639.0
775298,2645.0
777598,2652.0
777748,2653.0
778598,2656.0
780698,2663.0
781948,2667.0
783748,2673.0
785898,2681.0
786548,2683.0
786898,2684.0
787148,2685.0
789298,2692.0
789398,2693.0
789548,2693.0
790098,2695.0
791248,2699.0
792298,2703.0
792598,2704.0
793548,2707.0
794998,2712.0
796498,2717.0
797498,2720.0
797598,2721.0
798148,2723.0
800448,2730.0
800474,2730.0
801298,2733.0
801398,2734.0
801798,2735.0
801848,2735.0
802098,2736.0
802948,2739.0
803048,2739.0
806548,2751.0
806798,2752.0
809998,2763.0
812548,2772.0
812798,2773.0
813798,2776.0
815398,2781.0
815417,2781.0
815698,2782.0
816048,2784.0
816798,2786.0
817298,2788.0
817548,2789.0
818398,2792.0
820090,2792.0
820497,2794.0
820647,2794.0
820897,2795.0
821555,2797.0
821647,2798.0
821747,2798.0
821797,2798.0
821848,2798.0
822141,2799.0
822247,2800.0
822647,2801.0
822897,2802.0
822947,2802.0
822997,2802.0
823020,2802.0
823247,2803.0
823597,2804.0
823897,2805.0
824197,2807.0
824347,2807.0
824397,2807.0
824697,2808.0
824897,2809.0
825247,2810.0
825397,2811.0
825797,2812.0
826247,2814.0
826497,2814.0
826597,2815.0
826997,2816.0
827047,2816.0
827447,2818.0
827697,2818.0
827747,2819.0
827797,2819.0
827997,2819.0
828297,2821.0
828647,2822.0
828697,2822.0
828747,2822.0
828897,2823.0
829397,2824.0
829647,2825.0
829847,2826.0
829997,2826.0
830497,2828.0
830747,2829.0
830947,2830.0
831097,2830.0
831247,2831.0
831447,2831.0
831517,2831.0
832347,2834.0
832547,2835.0
832597,2835.0
832797,2836.0
832997,2837.0
833097,2837.0
833447,2838.0
833497,2838.0
833747,2839.0
833797,2839.0
833847,2839.0
833947,2840.0
834347,2841.0
834697,2842.0
835347,2845.0
835547,2845.0
835797,2846.0
835947,2847.0
836047,2847.0
836547,2849.0
836597,2849.0
837297,2851.0
837847,2853.0
837897,2853.0
837963,2853.0
838247,2854.0
838597,2856.0
838697,2856.0
838747,2856.0
838847,2857.0
839135,2857.0
839497,2859.0
839647,2859.0
839697,2859.0
840047,2861.0
840097,2861.0
840747,2863.0
840847,2863.0
840897,2864.0
841497,2866.0
841747,2866.0
841797,2867.0
841947,2867.0
842297,2868.0
842547,2869.0
842647,2869.0
842747,2870.0
842997,2871.0
843237,2871.0
843647,2873.0
843747,2873.0
843897,2874.0
844147,2875.0
844347,2875.0
844397,2875.0
844597,2876.0
844697,2876.0
844702,2876.0
844797,2877.0
844897,2877.0
844947,2877.0
845147,2878.0
845197,2878.0
